section,species,filesize_mb,width,height,image_type,source,hash,full_path
acanthophora,mammosum,6.9009,3750,5500,jpg,gbif,8aa29aa6323a92e6,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_1928244617_gbif_2893.jpg
acanthophora,mammosum,6.7975,3750,5500,jpg,gbif,8ea2998e8e3a32a6,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_1929678874_gbif_1970.jpg
acanthophora,mammosum,5.9054,3750,5500,jpg,gbif,8ab2b6caaaaccaf2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_1929879033_gbif_1841.jpg
acanthophora,mammosum,0.1026,1004,1520,jpg,gbif,92b2b5979686e8a2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_1930025660_gbif_1745.jpg
acanthophora,mammosum,11.3181,6717,9001,jpg,idigbio,06323e2e26279dd9,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_69e9677d-bbeb-4fbd-89b7-686b1c562a31_idigbio_1261.jpeg
acanthophora,mammosum,9.9155,6749,8957,jpg,idigbio,9896623a0c8db1a9,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_9fd00e1f-b764-40ce-942a-a91f63417ee5_idigbio_1388.jpeg
acanthophora,mammosum,7.907,6733,8931,jpg,idigbio,f0da8e9292d7e1d9,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_b1de965e-cd44-4c4a-8700-5f33f3b0e71d_idigbio_1522.jpeg
acanthophora,mammosum,12.8488,6803,9031,jpg,idigbio,9272324a6e0d1973,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_c4b772ba-bdd0-48d9-ad89-4a7ca6644b71_idigbio_5449.jpeg
acanthophora,mammosum,10.3998,6740,9020,jpg,idigbio,d29286643cb5e3a1,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_fc8597e7-f91a-4923-962a-6fa3e808166b_idigbio_2066.jpeg
acanthophora,myriacanthum,0.836,4374,6642,jpg,idigbio,19c9496b76c8e1ea,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_06f2ad8e-95e8-4edc-a0b1-56bffada4c6d_idigbio_972.jpeg
acanthophora,myriacanthum,0.7411,876,1440,jpg,gbif,8327277c350a8f29,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1055519943_gbif_4929.jpeg
acanthophora,myriacanthum,0.5086,872,1440,jpg,gbif,89cdb3e979346d33,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1055617811_gbif_4909.jpeg
acanthophora,myriacanthum,0.5438,870,1440,jpg,gbif,d3c38f4c6ccde323,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1056508812_gbif_4637.jpeg
acanthophora,myriacanthum,0.5032,866,1440,jpg,gbif,d2c6dd1d95d1e633,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1057239689_gbif_4423.jpeg
acanthophora,myriacanthum,0.6081,875,1440,jpg,gbif,939bce333f17e122,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1057327140_gbif_4399.jpeg
acanthophora,myriacanthum,0.5235,876,1440,jpg,gbif,d46633535ea3f032,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1057482236_gbif_4359.jpeg
acanthophora,myriacanthum,0.5804,1500,2080,jpg,gbif,101931677c780224,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1228378548_gbif_4212.jpg
acanthophora,myriacanthum,0.5091,1500,2038,jpg,gbif,a486363626093936,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1228455325_gbif_4184.jpg
acanthophora,myriacanthum,0.5318,1500,2037,jpg,gbif,9c9cc3b13d86cea5,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1228517019_gbif_4154.jpg
acanthophora,myriacanthum,2.204,1187,2000,jpg,gbif,33154747a3735323,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1252678106_gbif_3912.jpg
acanthophora,myriacanthum,0.8389,2912,4368,jpg,gbif,2687cb0b0f0e8840,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1802484532_gbif_3550.jpg
acanthophora,myriacanthum,0.8766,2912,4368,jpg,gbif,4d717323035e19c4,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1802484535_gbif_3548.jpg
acanthophora,myriacanthum,0.6595,2912,4368,jpg,gbif,4432321686e8d102,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1802484865_gbif_3481.jpg
acanthophora,myriacanthum,2.839,6081,7571,jpg,gbif,2706070929f3e369,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1839404196_gbif_3467.jpg
acanthophora,myriacanthum,6.9187,6177,9809,jpg,gbif,391e1911cb47c648,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1839404295_gbif_3449.jpg
acanthophora,myriacanthum,0.4625,1200,1924,jpg,gbif,cc9bb3bee82d2cf2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1849001392_gbif_3269.jpeg
acanthophora,myriacanthum,0.394,1200,1946,jpg,gbif,9886e6829a98c6d2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1849001426_gbif_3266.jpeg
acanthophora,myriacanthum,0.0995,1004,1520,jpg,gbif,dca2b39ac68ee0ca,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1927788956_gbif_3194.jpg
acanthophora,myriacanthum,6.7387,3750,5500,jpg,gbif,a48682829ab2b296,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1927918222_gbif_3105.jpg
acanthophora,myriacanthum,7.2078,3750,5500,jpg,gbif,9ae27336a6bab2f2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1928195098_gbif_2933.jpg
acanthophora,myriacanthum,8.3216,3750,5500,jpg,gbif,92ce2c8e8ab3e1ae,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1928240955_gbif_2897.jpg
acanthophora,myriacanthum,0.1277,1004,1520,jpg,gbif,b233230139bcc3b6,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1928299745_gbif_2845.jpg
acanthophora,myriacanthum,0.1071,1004,1520,jpg,gbif,9b99382e939e99e3,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1928362373_gbif_2797.jpg
acanthophora,myriacanthum,8.1588,3750,5500,jpg,gbif,92b01a33be8e92e2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1929005954_gbif_2398.jpg
acanthophora,myriacanthum,7.7498,3750,5500,jpg,gbif,98ac91a38c8cb2ca,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1929049135_gbif_2364.jpg
acanthophora,myriacanthum,7.2865,3750,5500,jpg,gbif,8a8c96863ab6aeea,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1929189987_gbif_2273.jpg
acanthophora,myriacanthum,5.9996,3750,5500,jpg,gbif,aab09a968696a2c6,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1929644606_gbif_1987.jpg
acanthophora,myriacanthum,9.1773,3750,5500,jpg,gbif,ae929e9a329ecab2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1929938288_gbif_1805.jpg
acanthophora,myriacanthum,7.4996,3750,5500,jpg,gbif,b28a3e92c68c9a92,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1930042120_gbif_1733.jpg
acanthophora,myriacanthum,7.4694,3750,5500,jpg,gbif,84b732a9a3a4b2f2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1930409727_gbif_1486.jpg
acanthophora,myriacanthum,8.0284,3750,5500,jpg,gbif,b4b2928f26b2c6b2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1930442866_gbif_1460.jpg
acanthophora,myriacanthum,6.0708,3750,5500,jpg,gbif,8e88b2aae032a2c2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1930493447_gbif_1429.jpg
acanthophora,myriacanthum,7.7559,3750,5500,jpg,gbif,b69a9b922cb6daf2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1930706262_gbif_1286.jpg
acanthophora,myriacanthum,8.2157,3750,5500,jpg,gbif,a6869a9e8ca2a2a2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1930880229_gbif_1163.jpg
acanthophora,myriacanthum,0.113,1004,1520,jpg,gbif,a68386e6dc9cd69a,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1931028305_gbif_1063.jpg
acanthophora,myriacanthum,0.0922,1004,1520,jpg,gbif,e6b83ab3aeecd28b,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_1931145836_gbif_979.jpg
acanthophora,myriacanthum,0.2105,1085,1920,jpg,gbif,cd86310d3e34c1b3,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_2514602184_gbif_366.jpeg
acanthophora,myriacanthum,0.2404,1086,1920,jpg,gbif,d3a32f2606d8f0b3,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_2516437567_gbif_267.jpeg
acanthophora,myriacanthum,0.2424,1091,1920,jpg,gbif,3333169686cec9b3,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_2516608566_gbif_256.jpeg
acanthophora,myriacanthum,0.1956,1213,1920,jpg,gbif,b8a34723e3cc9a9a,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_2517323631_gbif_212.jpeg
acanthophora,myriacanthum,9.7964,6784,8971,jpg,idigbio,9416261e3e29c9d1,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_36ebc2e2-ffc6-494a-84fd-1a0f10fc411f_idigbio_3088.jpeg
acanthophora,myriacanthum,0.0434,504,768,jpg,idigbio,d699093e18ca0312,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_41c09901-0b87-4be2-8e98-673a7f93ff1d_idigbio_3163.jpeg
acanthophora,myriacanthum,6.1846,3267,5044,jpg,gbif,3e2e0d9f3727c6ca,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_437120564_gbif_6655.jpeg
acanthophora,myriacanthum,6.6135,3268,5029,jpg,gbif,617337333e9e9ee6,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_437452396_gbif_6561.jpeg
acanthophora,myriacanthum,5.2908,3328,5128,jpg,gbif,e8969e8eec91a1a3,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_437818837_gbif_6443.jpeg
acanthophora,myriacanthum,1.9942,3267,5011,jpg,gbif,9c0f1b373e2393ba,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_437818838_gbif_6442.jpeg
acanthophora,myriacanthum,5.7468,3244,4982,jpg,gbif,ac2c8c9cacee8ece,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_438117516_gbif_6363.jpeg
acanthophora,myriacanthum,5.7077,3311,5119,jpg,gbif,8c5e3d9bcbd4ccac,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_438117517_gbif_6362.jpeg
acanthophora,myriacanthum,2.8208,3660,5160,jpg,gbif,c8cab4b3939bcc8c,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_438117518_gbif_6360.jpeg
acanthophora,myriacanthum,0.3895,2022,2948,jpg,gbif,82c2b0b29392ac8e,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_438117518_gbif_6361.jpeg
acanthophora,myriacanthum,2.2439,3256,5042,jpg,gbif,9e175b3626ce8e5c,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_438118727_gbif_6350.jpeg
acanthophora,myriacanthum,5.1412,3281,5135,jpg,gbif,8e1c6c6c9a4dada0,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_438485468_gbif_6243.jpeg
acanthophora,myriacanthum,6.3951,3286,5052,jpg,gbif,594b63372e8c8e8e,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_438485469_gbif_6242.jpeg
acanthophora,myriacanthum,4.9805,3235,5042,jpg,gbif,3237636f3726cc8e,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_438784984_gbif_6160.jpeg
acanthophora,myriacanthum,6.4266,3406,5110,jpg,gbif,1b971336766cc6cc,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_439118319_gbif_6072.jpeg
acanthophora,myriacanthum,2.4313,3311,5089,jpg,gbif,1c0e2e2c93272c9e,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_439450493_gbif_5973.jpeg
acanthophora,myriacanthum,5.0196,3255,5028,jpg,gbif,cf6b471f339f8c8c,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_439450494_gbif_5972.jpeg
acanthophora,myriacanthum,6.5343,3264,5059,jpg,gbif,9a3b5b1b9313256e,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_439450495_gbif_5971.jpeg
acanthophora,myriacanthum,0.433,1971,2888,jpg,gbif,cc879393929e9eae,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_439450497_gbif_5969.jpeg
acanthophora,myriacanthum,3.0802,3660,5160,jpg,gbif,cd871393d39e9cee,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_439450497_gbif_5970.jpeg
acanthophora,myriacanthum,6.2612,3255,5025,jpg,gbif,9696436f034f8cca,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_439451720_gbif_5957.jpeg
acanthophora,myriacanthum,10.5162,6728,8955,jpg,idigbio,3226863626393961,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_5c444185-b9cb-4207-870a-6520b7427eb6_idigbio_873.jpeg
acanthophora,myriacanthum,11.576,6624,8978,jpg,idigbio,90121292353d99cd,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_78f892d4-2a0d-4407-9732-23b0f041563c_idigbio_449.jpeg
acanthophora,myriacanthum,9.4053,6713,8911,jpg,idigbio,ece4c62e989999e1,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_7dbd285d-9255-4174-b010-c1aa3e6a7d5c_idigbio_5304.jpeg
acanthophora,myriacanthum,2.3015,1170,2000,jpg,gbif,3337328b838f8d60,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_912119200_gbif_5604.jpg
acanthophora,myriacanthum,2.5779,1178,2000,jpg,gbif,a7261c0e33256452,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_912119204_gbif_5601.jpg
acanthophora,myriacanthum,2.503,1180,2000,jpg,gbif,214727336f375118,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_912119221_gbif_5587.jpg
acanthophora,myriacanthum,10.7132,6799,8957,jpg,idigbio,90929e38262f89f1,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_a908e0fc-d1d5-4eba-aab5-0bafb53e1987_idigbio_2317.jpeg
acanthophora,myriacanthum,9.974,6768,8958,jpg,idigbio,32323232d2997969,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_abb69a0a-3833-4277-a065-d15ebcfb1733_idigbio_2355.jpeg
acanthophora,myriacanthum,10.1735,6751,8907,jpg,idigbio,eab29a3a3e37a1c5,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_bbd0f8a0-da33-4e59-9baa-329f5e3206b1_idigbio_4063.jpeg
acanthophora,myriacanthum,10.9455,6727,8917,jpg,idigbio,b03626b2322f3da1,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_ce23bde4-995f-43de-8d63-46190ab13d37_idigbio_2330.jpeg
acanthophora,myriacanthum,10.9911,6767,8997,jpg,idigbio,b03c1c16860f37f1,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_myriacanthum_db2a251d-a145-4759-bd86-3b27bfd0bd8e_idigbio_2707.jpeg
anarrhichomenum,appendiculatum,2.2549,7307,10172,jpg,idigbio,e58c8a8caeb0a183,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_03a816c4-37cc-40ad-ae23-4cface744ce7_idigbio_2482.jpeg
anarrhichomenum,appendiculatum,2.4584,7307,10172,jpg,idigbio,e4a0988d8f88a183,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_0ef2caf9-6bb5-4756-9490-4b7a0820ff0f_idigbio_2877.jpeg
anarrhichomenum,appendiculatum,0.5321,870,1440,jpg,gbif,d9652133595b6332,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1135489233_gbif_4302.jpeg
anarrhichomenum,appendiculatum,0.4141,1500,2158,jpg,gbif,70333636219ddc91,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1228240180_gbif_4258.jpg
anarrhichomenum,appendiculatum,0.624,1500,2077,jpg,gbif,9c9ca4175b9eb0a1,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1228430843_gbif_4194.jpg
anarrhichomenum,appendiculatum,0.4769,1750,2457,jpg,gbif,283233076b6c81c3,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1228440405_gbif_4190.jpg
anarrhichomenum,appendiculatum,0.3779,1200,1842,jpg,gbif,d8989898d6cecef0,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1231105767_gbif_4088.jpeg
anarrhichomenum,appendiculatum,2.0567,1180,2000,jpg,gbif,f4e89830666d3734,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1252677784_gbif_4029.jpg
anarrhichomenum,appendiculatum,20.7856,3972,5008,jpg,gbif,daaea999c8cec4d0,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1320836303_gbif_3659.jpeg
anarrhichomenum,appendiculatum,9.1944,6736,8914,jpg,idigbio,b690b2ca466789e1,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_16762510-11df-4859-b283-6dc77b74bd1f_idigbio_5438.jpeg
anarrhichomenum,appendiculatum,0.7389,2912,4368,jpg,gbif,0c862acf96266992,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1802484615_gbif_3516.jpg
anarrhichomenum,appendiculatum,0.7625,2912,4368,jpg,gbif,c0a861373c789122,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1802484736_gbif_3499.jpg
anarrhichomenum,appendiculatum,5.6223,6057,10034,jpg,gbif,634351f3674d5f5b,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1839476944_gbif_3438.jpg
anarrhichomenum,appendiculatum,3.3525,6087,9794,jpg,gbif,58a53f1b8899eb4d,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1839476999_gbif_3437.jpg
anarrhichomenum,appendiculatum,1.2297,3408,4629,jpg,gbif,f9d3c9cbd3d3b8d9,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1846523793_gbif_3289.jpg
anarrhichomenum,appendiculatum,0.2812,1200,1681,jpg,gbif,302d8c8292b0f0d0,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1849001447_gbif_3264.jpeg
anarrhichomenum,appendiculatum,0.283,1200,1730,jpg,gbif,bab5b7a3ac9cb260,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1849001635_gbif_3260.jpeg
anarrhichomenum,appendiculatum,0.33,1200,1720,jpg,gbif,f2dccc5c568ee8e4,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1849001686_gbif_3258.jpeg
anarrhichomenum,appendiculatum,0.4261,1200,1926,jpg,gbif,f481c8987612d2cc,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1849001691_gbif_3257.jpeg
anarrhichomenum,appendiculatum,0.0717,1004,1520,jpg,gbif,ba026272d64ab2da,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1928079880_gbif_3001.jpg
anarrhichomenum,appendiculatum,0.0908,1004,1520,jpg,gbif,a3319bce49c9e29a,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\anarrhichomenum\anarrhichomenum_appendiculatum_1928434678_gbif_2742.jpg
